"species","fallspeed","PPEs","PPE.errors"
"Ash",0.0186,0.0761102406934022,1
"Beech",0.055,0.446324059035455,0.948494355474028
"Birch",0.023,0.691223288135203,0.893712638574424
"Hemlock",0.082,1.55805972829054,0.862812382478976
"Hickory",0.022,0.289222762797431,1
"Maple",0.056,0.072675749357942,0.657813149615876
"Oak",0.029,1,1
"Other_conifer",0.102,0.0277808700512172,1
"Other_hardwood",0.0146,0.244300745198804,0.216539296880758
"Pine",0.0252,1.95643554006867,0.961257624969856
"Spruce",0.054,0.189472518324056,0.882088611480801
